pfam_number	Name	Description	Long_description	enzyme_annotation
PF01663	Phosphodiest	Type I phosphodiesterase / nucleotide pyrophosphatase	This family consists of phosphodiesterases, including human plasma-cell membrane glycoprotein PC-1 / alkaline phosphodiesterase i / nucleotide pyrophosphatase (nppase). These enzymes catalyse the cleavage of phosphodiester and phosphosulfate bonds in NAD,  deoxynucleotides and nucleotide sugars [1]. Also in this family is ATX an autotaxin, tumour cell motility-stimulating protein which  exhibits type I phosphodiesterases activity [4]. The alignment encompasses the active site [3,4]. Also present with in this family is 60-kDa Ca2+-ATPase form  F. odoratum [2].	y
PF01674	Lipase_2	Lipase (class 2)	This family consists of hypothetical C. elegans proteins and lipases. Lipases or triacylglycerol acylhydrolases hydrolyse ester bonds in triacylglycerol giving diacylglycerol, monoacylglycerol, glycerol  and free fatty acids [1]. Swiss:P37957 is a extracellular lipase from B. subtilis 168 [1].	y
PF01676	Metalloenzyme	Metalloenzyme superfamily	This family includes phosphopentomutase Swiss:P07651 and 2,3-bisphosphoglycerate-independent phosphoglycerate mutase, Swiss:P37689. This family is also related to Pfam:PF00245 [1]. The alignment contains the most conserved residues that are probably involved in metal binding and catalysis.	y
PF01678	DAP_epimerase	Diaminopimelate epimerase	Diaminopimelate epimerase contains two domains of the same alpha/beta fold, both contained in this family.	y
PF01680	SOR_SNZ	SOR/SNZ family	Members of this family are enzymes involved in a new pathway of pyridoxine/pyridoxal 5-phosphate biosynthesis [1]. This family was formerly known as UPF0019.	y
PF01687	Flavokinase	Riboflavin kinase	This family represents the C-terminal region of the bifunctional riboflavin biosynthesis protein known as RibC in Bacillus subtilis.  The RibC protein from Bacillus subtilis has both flavokinase and flavin adenine dinucleotide synthetase (FAD-synthetase) activities. RibC plays an essential role in the flavin metabolism [1].  This domain is thought to have kinase activity [2].	y
PF01695	IstB_IS21	IstB-like ATP binding protein	This protein contains an ATP/GTP binding P-loop motif. It is found associated with IS21 family insertion sequences [1].  The function of this protein is unknown, but it may perform a transposase function [2].	u
PF01702	TGT	Queuine tRNA-ribosyltransferase	This is a family of queuine tRNA-ribosyltransferases EC:2.4.2.29, also known as tRNA-guanine transglycosylase and guanine insertion enzyme. Queuine tRNA-ribosyltransferase modifies tRNAs for asparagine,  aspartic acid, histidine and tyrosine with queuine.  It catalyses the exchange of guanine-34 at the wobble position with 7-aminomethyl-7-deazaguanine, and the addition of a cyclopentenediol  moiety to 7-aminomethyl-7-deazaguanine-34 tRNA; giving a hypermodified  base queuine in the wobble position [1,2]. The aligned region contains a zinc binding motif C-x-C-x2-C-x29-H,  and important tRNA and 7-aminomethyl-7deazaguanine binding residues [1].	y
PF01704	UDPGP	UTP--glucose-1-phosphate uridylyltransferase	This family consists of UTP--glucose-1-phosphate uridylyltransferases, EC:2.7.7.9. Also known as UDP-glucose pyrophosphorylase (UDPGP) and  Glucose-1-phosphate uridylyltransferase. UTP--glucose-1-phosphate uridylyltransferase catalyses the interconversion of MgUTP + glucose-1-phosphate and UDP-glucose + MgPPi [1]. UDP-glucose is an important intermediate in mammalian carbohydrate interconversion involved in various metabolic roles depending on tissue type [1]. In Dictyostelium (slime mold) mutants in this enzyme abort the development cycle [2]. Also within the family is UDP-N-acetylglucosamine Swiss:Q16222 or AGX1 [3] and two hypothetical proteins from Borrelia burgdorferi the lyme disease  spirochaete Swiss:O51893 and Swiss:O51036.	y
PF01712	dNK	Deoxynucleoside kinase	This family consists of various deoxynucleoside kinases cytidine EC:2.7.1.74, guanosine EC:2.7.1.113, adenosine EC:2.7.1.76  and thymidine kinase EC:2.7.1.21 (which also phosphorylates deoxyuridine  and deoxycytosine.) These enzymes catalyse the production of  deoxynucleotide 5'-monophosphate from a deoxynucleoside.  Using ATP and yielding ADP in the process.	y
PF01715	IPPT	IPP transferase	This is a family of IPP transferases EC:2.5.1.8 also known as  tRNA delta(2)-isopentenylpyrophosphate transferase. These enzymes modify both cytoplasmic and mitochondrial tRNAs  at A(37) to give isopentenyl A(37) [2].	y
PF01717	Meth_synt_2	Cobalamin-independent synthase, Catalytic domain	This is a family of vitamin-B12 independent methionine synthases or 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferases, EC:2.1.1.14 from bacteria and plants. Plants are the only higher eukaryotes that have the required enzymes for methionine synthesis [1]. This enzyme catalyses the last step in the production of methionine by transferring a methyl group from 5-methyltetrahydrofolate to homocysteine [1]. The aligned region makes up the carboxy region of the approximately 750 amino acid protein except in some hypothetical archaeal proteins present in the family, where this region corresponds to the entire length. This domain contains the catalytic residues of the enzyme [2].	y
PF01724	DUF29	Domain of unknown function DUF29	This family consists of various hypothetical proteins from cyanobacteria, none of which are functionally described. The aligned region is approximately 120-140 amino acids long corresponding to almost the entire length of the proteins in the family. Swiss:Q2RPE2, PDB:3fcn, is a small protein that has a novel all-alpha fold. The N-terminal helical hairpin is likely to function as a dimerisation module. This protein is a member of PFam family PF01724. The function of this protein is unknown. One protein sequence contains a fusion of this protein and a DnaB domain, suggesting a possible role in DNA helicase activity (hypothetical). Dali hits have low Z and high rmsd, suggesting probably only topological similarities (not functional relevance) (details derived from TOPSAN). The family has several highly conserved sequence motifs, including YD/ExD, DxxNVxEEIE, and CPY/F/W, as well as conserved tryptophans.	u
PF01728	FtsJ	FtsJ-like methyltransferase	This family consists of FtsJ from various bacterial and archaeal sources FtsJ is a methyltransferase, but actually has no effect on cell division. FtsJ's substrate is the 23S rRNA. The 1.5 A crystal structure of FtsJ in complex with its cofactor S-adenosylmethionine revealed that FtsJ has a methyltransferase fold. This family also includes the N terminus of flaviviral NS5 protein. It has been hypothesised that the N-terminal domain of NS5 is a methyltransferase involved in viral RNA capping [2].	m
PF01729	QRPTase_C	Quinolinate phosphoribosyl transferase, C-terminal domain	Quinolinate phosphoribosyl transferase (QPRTase) or nicotinate-nucleotide pyrophosphorylase EC:2.4.2.19 is involved in the de novo synthesis of NAD in both prokaryotes and eukaryotes. It catalyses the reaction of quinolinic acid with 5-phosphoribosyl-1-pyrophosphate (PRPP) in the presence of Mg2+ to give rise to nicotinic acid mononucleotide (NaMN), pyrophosphate and carbon dioxide [1,2]. The QA substrate is bound between the C-terminal domain of one subunit, and the N-terminal domain of the other.  The C-terminal domain has a 7 beta-stranded TIM barrel-like fold.	y
PF01731	Arylesterase	Arylesterase	This family consists of arylesterases (Also known as serum paraoxonase) EC:3.1.1.2. These enzymes hydrolyse organophosphorus esters such as paraoxon and are found in the liver and blood. They confer resistance to organophosphate toxicity [1]. Human arylesterase (PON1) Swiss:P27169 is associated with HDL and may protect against LDL oxidation [2].	y
PF01734	Patatin	Patatin-like phospholipase	This family consists of various patatin glycoproteins from plants. The patatin protein accounts for up to 40% of  the total soluble protein in potato tubers [2]. Patatin is a storage protein but it also has the enzymatic activity of lipid acyl hydrolase, catalysing the cleavage of fatty acids from membrane lipids [2]. Members of this family have been found also in vertebrates.	y
PF01735	PLA2_B	Lysophospholipase catalytic domain	This family consists of Lysophospholipase / phospholipase B EC:3.1.1.5 and cytosolic phospholipase A2 EC:3.1.4 which also has a C2 domain Pfam:PF00168.  Phospholipase B enzymes catalyse the release of fatty acids from lysophsopholipids and are capable in vitro of hydrolysing all  phospholipids extractable form yeast cells [1].  Cytosolic phospholipase A2 associates with natural membranes in response to physiological increases in Ca2+ and selectively hydrolyses arachidonyl phospholipids [2], the aligned region corresponds the the carboxy-terminal Ca2+-independent catalytic  domain of the protein as discussed in [2].	y
PF01738	DLH	Dienelactone hydrolase family		y
PF01739	CheR	CheR methyltransferase, SAM binding domain	CheR proteins are part of the chemotaxis signaling mechanism in bacteria. CheR methylates the chemotaxis receptor at specific glutamate residues. CheR is an S-adenosylmethionine- dependent methyltransferase - the C-terminal domain (this one) binds SAM.	y
PF01742	Peptidase_M27	Clostridial neurotoxin zinc protease	These toxins are zinc proteases that block neurotransmitter release by proteolytic cleavage of synaptic proteins such as synaptobrevins, syntaxin and SNAP-25.	m
PF01746	tRNA_m1G_MT	tRNA (Guanine-1)-methyltransferase	This is a family of tRNA (Guanine-1)-methyltransferases  EC:2.1.1.31. In E.coli K12 this enzyme catalyses the conversion of a guanosine residue to N1-methylguanine in position 37, next to the anticodon, in tRNA [1].	y
PF01747	ATP-sulfurylase	ATP-sulfurylase	This domain is the catalytic domain of ATP-sulfurylase or sulfate adenylyltransferase EC:2.7.7.4 some of which are part of a bifunctional polypeptide chain associated with adenosyl phosphosulphate (APS) kinase Pfam:PF01583. Both enzymes are required for PAPS (phosphoadenosine-phosphosulfate) synthesis from inorganic sulphate [2]. ATP sulfurylase catalyses the synthesis of adenosine-phosphosulfate APS from ATP and inorganic sulphate [1].	y
PF01750	HycI	Hydrogenase maturation protease	The family consists of hydrogenase maturation proteases. In E. coli HypI the hydrogenase maturation protease is involved in processing of HypE the large subunit of hydrogenases 3, by cleavage of its C-terminal [1].	m
PF01752	Peptidase_M9	Collagenase	This family of enzymes break down collagens.	m
PF01755	Glyco_transf_25	Glycosyltransferase family 25 (LPS biosynthesis protein)	Members of this family belong to Glycosyltransferase family 25 [1] This is a family of glycosyltransferases involved in lipopolysaccharide (LPS) biosynthesis. These enzymes catalyse the transfer of various sugars onto the growing LPS chain during its biosynthesis.	s
PF01757	Acyl_transf_3	Acyltransferase family	This family includes a range of acyltransferase enzymes. This domain is found in many as yet uncharacterised C. elegans proteins and it is approximately 300 amino acids long.	y
PF01761	DHQ_synthase	3-dehydroquinate synthase	The 3-dehydroquinate synthase EC:4.6.1.3 domain is present in isolation in various bacterial 3-dehydroquinate  synthases and also present as a domain in the pentafunctional AROM polypeptide Swiss:P07547 [2]. 3-dehydroquinate (DHQ) synthase catalyses the formation of  dehydroquinate (DHQ) and orthophosphate from 3-deoxy-D-arabino heptulosonic 7 phosphate [1]. This reaction is part of the shikimate pathway which is involved  in the biosynthesis of aromatic amino acids.  	y
PF01762	Galactosyl_T	Galactosyltransferase	This family includes the galactosyltransferases UDP-galactose:2-acetamido-2-deoxy-D-glucose3beta-galactosyltransferas e Swiss:O43825 [1] and UDP-Gal:beta-GlcNAc beta 1,3-galactosyltranferase  Swiss:O54904 [2].  Specific galactosyltransferases transfer galactose to GlcNAc terminal  chains in the synthesis of the lacto-series oligosaccharides types 1  and 2 [1].	y
PF01764	Lipase_3	Lipase (class 3)		y
PF01768	Birna_VP4	Birnavirus VP4 protein	VP4 is a viral protease [1]. The large RNA segment of birnaviruses codes for a polyprotein (N-VP2-VP4-VP3-C) [1].	m
PF01786	AOX	Alternative oxidase	The alternative oxidase is used as a second terminal oxidase  in the mitochondria, electrons are transfered directly from reduced ubiquinol to oxygen forming water [2]. This is not coupled to ATP synthesis and is not inhibited by cyanide, this pathway is a single step process [1]. In rice the transcript levels of the alternative oxidase are increased by low temperature [1].	y
PF01790	LGT	Prolipoprotein diacylglyceryl transferase		y
PF01791	DeoC	DeoC/LacD family aldolase	This family includes diverse aldolase enzymes.  This family includes the enzyme deoxyribose-phosphate aldolase EC:4.1.2.4, which is involved in nucleotide metabolism. The family also includes a group of related bacterial proteins of unknown function, see examples Swiss:Q57843 and Swiss:P76143.  The family also includes tagatose 1,6-diphosphate aldolase (EC:4.1.2.40) is part of the tagatose-6-phosphate pathway of galactose-6-phosphate degradation [2].	y
PF01793	Glyco_transf_15	Glycolipid 2-alpha-mannosyltransferase	This is a family of alpha-1,2 mannosyl-transferases involved in N-linked and O-linked glycosylation of proteins.  Some of the enzymes in this family have been shown to be involved in O- and N-linked glycan modifications in the Golgi [1].	s
PF01795	Methyltransf_5	MraW methylase family	Members of this family are probably SAM dependent methyltransferases based on Swiss:P18595 [1]. This family appears to be related to Pfam:PF01596.	y
PF01797	Y1_Tnp	Transposase IS200 like	Transposases are needed for efficient transposition of the insertion sequence or transposon DNA. This family includes transposases for IS200 from E. coli.	m
PF01804	Penicil_amidase	Penicillin amidase	Penicillin amidase or penicillin acylase EC:3.5.1.11 catalyses the hydrolysis of benzylpenicillin to phenylacetic acid and 6-aminopenicillanic acid (6-APA) a key intermediate in the the synthesis of penicillins [1]. Also in the family is cephalosporin acylase Swiss:P07662 and  Swiss:P29958 aculeacin A acylase which are involved in the synthesis of related peptide antibiotics.	y
PF01808	AICARFT_IMPCHas	AICARFT/IMPCHase bienzyme	This is a family of bifunctional enzymes catalysing the last two steps in de novo purine biosynthesis. The bifunctional enzyme is found in both prokaryotes and eukaryotes. The second last step is catalysed by 5-aminoimidazole-4-carboxamide  ribonucleotide formyltransferase EC:2.1.2.3 (AICARFT), this enzyme catalyses the formylation of AICAR with 10-formyl-tetrahydrofolate to yield FAICAR and tetrahydrofolate [1]. This is catalysed by a pair of C-terminal deaminase fold domains in the protein [3], where the active site is formed by the dimeric interface of two monomeric units [3]. The last  step is catalysed by the N-terminal IMP (Inosine monophosphate)  cyclohydrolase domain EC:3.5.4.10 (IMPCHase), cyclizing FAICAR  (5-formylaminoimidazole-4-carboxamide ribonucleotide) to IMP [1]. 	y
PF01812	5-FTHF_cyc-lig	5-formyltetrahydrofolate cyclo-ligase family	5-formyltetrahydrofolate cyclo-ligase or methenyl-THF synthetase EC:6.3.3.2 catalyses the interchange of 5-formyltetrahydrofolate  (5-FTHF) to 5-10-methenyltetrahydrofolate, this requires ATP and Mg2+ [1]. 5-FTHF is used in chemotherapy where it is clinically known as Leucovorin [2].	y
PF01814	Hemerythrin	Hemerythrin HHE cation binding domain	Iteration of the HHE family ([2]) found it to be related to Hemerythrin. It also demonstrated that what has been described as a single domain ([1]) in fact consists of two cation binding domains. Members of this family occur all across nature and are involved in a variety of processes. For instance, in Nereis diversicolor Swiss:P80255 binds Cadmium so as to protect the organism from toxicity ([3]). However Hemerythrin is classically described as Oxygen-binding through two attached Fe2+ ions. And the bacterial Swiss:Q7WX96 is a regulator of response to NO, which suggests yet another set-up for its metal ligands ([4]). In Staphylococcus aureus P72360 has been noted to be important when the organism switches to living in environments with low oxygen concentrations ([4]); perhaps this protein acts as an oxygen store or scavenger.	u
PF01817	CM_2	Chorismate mutase type II	Chorismate mutase EC:5.4.99.5 catalyses the conversion of chorismate to prephenate in the pathway of tyrosine and phenylalanine biosynthesis. This enzyme is negatively regulated by tyrosine, tryptophan and phenylalanine [2,3].	y
PF01832	Glucosaminidase	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	This family includes Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase EC:3.2.1.96. As well as the flageller protein J Swiss:P75942 that has been shown to hydrolyse peptidoglycan [1].	s
PF01841	Transglut_core	Transglutaminase-like superfamily	This family includes animal transglutaminases and other bacterial proteins of unknown function. Sequence conservation in this superfamily primarily involves three motifs that centre around conserved cysteine, histidine, and aspartate residues that form the catalytic triad in the structurally characterised transglutaminase, the human blood clotting factor XIIIa' [1]. On the basis of the experimentally demonstrated activity of the Methanobacterium phage pseudomurein endoisopeptidase [2], it is proposed that many, if not all, microbial homologues of the transglutaminases are proteases and that the eukaryotic transglutaminases have evolved from an ancestral protease. [3]	y
PF01850	PIN	PIN domain		m
PF01861	DUF43	Branched-chain polyamine synthase A C-terminal domain	This domain is found in the C terminus of N(4)-bis(aminopropyl)spermidine synthase (EC:2.5.1.128, also known as Branched-chain polyamine synthase A, BpsA) from hyperthermophiles [1] and in uncharacterised proteins from bacteria and archaea.	u
PF01862	PvlArgDC	Pyruvoyl-dependent arginine decarboxylase (PvlArgDC)	Methanococcus jannaschii contains homologues of most genes required for spermidine polyamine biosynthesis. Yet genomes from neither this organism nor any other euryarchaeon have orthologues of the pyridoxal 5'-phosphate- dependent ornithine or arginine decarboxylase genes, required to produce putrescine. Instead,these organisms have a new class of arginine decarboxylase (PvlArgDC) formed by the self-cleavage of a proenzyme into a 5-kDa subunit and a 12-kDa subunit that contains a reactive pyruvoyl group. Although this extremely thermostable enzyme has no significant sequence similarity to previously characterised proteins, conserved active site residues are similar to those of the pyruvoyl-dependent histidine decarboxylase enzyme, and its subunits form a similar (alpha-beta)(3) complex. Homologues of PvlArgDC are found in several bacterial genomes, including those of Chlamydia spp., which have no agmatine ureohydrolase enzyme to convert agmatine (decarboxylated arginine) into putrescine. In these intracellular pathogens, PvlArgDC may function analogously to pyruvoyl-dependent histidine decarboxylase; the cells are proposed to import arginine and export agmatine, increasing the pH and affecting the host cell's metabolism. Phylogenetic analysis of Pvl- ArgDC proteins suggests that this gene has been recruited from the euryarchaeal polyamine biosynthetic pathway to function as a degradative enzyme in bacteria [1].	y
PF01864	CarS-like	CDP-archaeol synthase	CDP-archaeol synthase functions in the archaeal lipid biosynthetic pathway. It catalyses the transfer of the nucleotide to its specific archaeal lipid substrate, leading to the formation of a CDP-activated precursor (CDP-archaeol) to which polar head groups are attached [1]. Bacterial members of this family are uncharacterized.	y
PF01866	Diphthamide_syn	Putative diphthamide synthesis protein	Diphthamide_syn, diphthamide synthase, catalyses the last amidation step of diphthamide biosynthesis using ammonium and ATP. Swiss:Q16439 is a candidate tumour suppressor gene [1]. DPH2 from yeast Swiss:P32461 [2], which confers resistance to diphtheria toxin has been found to be involved in diphthamide synthesis. Diphtheria toxin inhibits eukaryotic protein synthesis by ADP-ribosylating diphthamide, a post-translationally modified histidine residue present in EF2. Diphthamide synthase is evolutionarily conserved in eukaryotes. Diphthamide is a post-translationally modified histidine residue found on archaeal and eukaryotic translation elongation factor 2 (eEF-2) [3].	y
PF01867	Cas_Cas1	CRISPR associated protein Cas1	Clustered regularly interspaced short palindromic repeats (CRISPRs) are a family of DNA direct repeats found in many prokaryotic genomes. This family of proteins corresponds to Cas1, a CRISPR-associated protein.  Cas1 may be involved in linking DNA segments to CRISPR [2].	m
PF01868	UPF0086	Domain of unknown function UPF0086	This family consists of several archaeal and eukaryotic proteins. The archaeal proteins are found to be expressed within ribosomal operons and several of the sequences are described as ribonuclease P protein subunit p29 proteins.	u
PF01869	BcrAD_BadFG	BadF/BadG/BcrA/BcrD ATPase family	This family includes the BadF Swiss:O07462 and BadG Swiss:O07463 proteins that are two subunits of Benzoyl-CoA reductase, that may be involved in ATP hydrolysis. The family also includes an activase subunit from the enzyme 2-hydroxyglutaryl-CoA dehydratase Swiss:P11568. The protein Swiss:O66634 contains two copies of this region suggesting that the family may structurally dimerise. This family appears to be related to Pfam:PF00370.	y
PF01870	Hjc	Archaeal holliday junction resolvase (hjc)	This family of archaebacterial proteins are holliday junction resolvases (hjc gene) [1]. The Holliday junction is an essential intermediate of homologous recombination. This protein is the archaeal equivalent of RuvC but is not sequence similar.	m
PF01874	CitG	ATP:dephospho-CoA triphosphoribosyl transferase 	The citG gene is found in a gene cluster with citrate lyase subunits [1].  The function of the CitG protein was elucidated as ATP:dephospho-CoA triphosphoribosyl transferase [2-3].	y
PF01882	DUF58	Protein of unknown function DUF58	This family of prokaryotic proteins have no known function. Swiss:P71138 a protein of unknown function in the family has been misannotated as alpha-dextrin 6-glucanohydrolase.	u
PF01883	FeS_assembly_P	Iron-sulfur cluster assembly protein	This family has an alpha/beta topology, with 13 conserved hydrophobic residues at its core and a putative active site containing a highly conserved cysteine [1]. Members of this family are involved in a range of physiological functions. The family includes PaaJ (PhaH) Swiss:O84984 from Pseudomonas putida. PaaJ forms a complex with PaaG (PhaF) Swiss:O84982, PaaI (PhaG) Swiss:O84983 and PaaK (PhaI) Swiss:O84985, which hydroxylates phenylacetic acid to 2-hydroxyphenylacetic acid [2]. It also includes PaaD Swiss:P76080 from Escherichia coli, a member of a multicomponent oxygenase involved in phenylacetyl-CoA hydroxylation [3]. Furthermore, several members of this family are shown to be involved in iron-sulfur (FeS) cluster assembly. Iron-sulfur (FeS) clusters are inorganic co-factors that are are able to transfer electrons and act as catalysts [5]. They are involved in diverse cellular processes including cellular respiration, DNA replication and repair, antibiotic resistance, and dinitrogen fixation [6]. The biogenesis of such clusters from elemental iron and sulfur is an enzymatic process that requires a set of specialised proteins. Proteins containing this domain include the chloroplast protein HCF101 (high chlorophyll fluorescence 101), Swiss:Q6STH5, which has been described as an essential and specific factor for assembly of [4Fe-4S]-cluster-containing protein complexes such as the membrane complex Photosystem I (PSI) and the heterodimeric FTR (ferredoxin-thioredoxin reductase) complex [5] and is involved in the assembly of [4Fe-4S] clusters and their transfer to apoproteins [4]. The mature HCF101 protein contains this domain at the N-terminal as well as eight cysteine residues along the sequence.  All cysteine residues are conserved among higher plants, but of the two cysteine residues located in this domain only Cys128 is highly conserved and is present in the highly conserved P-loop domain of the plant HCF101 (CKGGVGKS) [5]. SufT protein from Staphylococcus aureus is composed of this domain solely and is shown to be involved in the maturation of FeS proteins [6]. Given all this data, it is hypothesised that this domain might play a role in FeS cluster assembly.	y
PF01884	PcrB	PcrB family	This family contains proteins that are related to PcrB Swiss:Q53726. The function of these proteins is unknown.	y
PF01887	SAM_adeno_trans	S-adenosyl-l-methionine hydroxide adenosyltransferase	This is a family of proteins, previously known as DUF62, found in archaebacteria and bacteria. The structure of proteins in this family is similar to that of a bacterial fluorinating enzyme [1]. S-adenosyl-l-methionine hydroxide adenosyltransferases utilises a rigorously conserved amino acid side chain triad (Asp-Arg-His) which may have a role in activating water to hydroxide ion [2]. This family used to be known as DUF62.	y
PF01888	CbiD	CbiD	CbiD is essential for cobalamin biosynthesis in both S. typhimurium and B. megaterium, no functional role has been ascribed to the protein. The CbiD protein has a putative S-AdoMet binding site. It is possible that CbiD might have the same role as CobF in undertaking the C-1 methylation and deacylation reactions required during the ring contraction process [1].	y
PF01890	CbiG_C	Cobalamin synthesis G C-terminus	Members of this family are involved in cobalamin synthesis.  The gene encoded by Swiss:P72862 has been designated cbiH but in fact represents a fusion between cbiH and cbiG. As other multi-functional proteins involved in cobalamin biosynthesis catalyse adjacent steps in the pathway, including CysG, CobL (CbiET), CobIJ and CobA-HemD, it is therefore possible that CbiG catalyses a reaction step adjacent to CbiH. In the anaerobic pathway such a step could be the formation of a gamma lactone, which is thought to help to mediate the anaerobic ring contraction process [1]. Within the cobalamin synthesis pathway CbiG catalyses the both the opening of the lactone ring and the extrusion of the two-carbon fragment of cobalt-precorrin-5A from C-20 and its associated methyl group (deacylation) to give cobalt-precorrin-5B [2]. This family is the C-terminal region, and the mid- and N-termival parts are conserved independently in other families.	y
PF01894	UPF0047	Uncharacterised protein family UPF0047	This family has no known function. The alignment contains a conserved aspartate and histidine that may be functionally important.	u
PF01896	DNA_primase_S	DNA primase small subunit	DNA primase synthesises the RNA primers for the Okazaki fragments in lagging strand DNA synthesis. DNA primase is a heterodimer of large and small subunits.  This family also includes baculovirus late expression factor 1 or LEF-1 proteins. Baculovirus LEF-1 is a DNA primase enzyme [1]. The family also contains many bacterial DNA primases.	m
PF01902	Diphthami_syn_2	Diphthamide synthase	Diphthamide_syn, diphthamide synthase, catalyses the last amidation step of diphthamide biosynthesis using ammonium and ATP. Diphthamide synthase is evolutionarily conserved in eukaryotes. Diphthamide is a post-translationally modified histidine residue found on archaeal and eukaryotic translation elongation factor 2 (eEF-2) [1]. In some members of this family e.g. Swiss:Q12429, this domain is associated with Pfam:PF01042. The enzyme classification is EC:6.3.1.14.	y
PF01903	CbiX	CbiX	The function of CbiX is uncertain, however it is found in cobalamin biosynthesis operons and so may have a related function. Some CbiX proteins contain a striking histidine-rich region at their C-terminus, which suggests that it might be involved in metal chelation [1].	y
PF01909	NTP_transf_2	Nucleotidyltransferase domain	Members of this family belong to a large family of nucleotidyltransferases [1]. This family includes kanamycin nucleotidyltransferase (KNTase) which is a plasmid-coded enzyme responsible for some types of bacterial resistance to aminoglycosides. KNTase in-activates antibiotics by catalysing the addition of a nucleotidyl group onto the drug.	y
PF01913	FTR	Formylmethanofuran-tetrahydromethanopterin formyltransferase	This enzyme EC:2.3.1.101 is involved in archaebacteria in the formation of methane from carbon dioxide. N-terminal distal lobe of alpha+beta ferredoxin-like fold. SCOP reports fold duplication with C-terminal proximal lobe.	y
PF01916	DS	Deoxyhypusine synthase	Eukaryotic initiation factor 5A (eIF-5A) contains an unusual amino acid, hypusine [N epsilon-(4-aminobutyl-2-hydroxy)lysine]. The first step in the post-translational formation of hypusine is catalysed by the enzyme deoxyhypusine synthase (DS) EC:1.1.1.249. The modified version of eIF-5A, and DS, are required for eukaryotic cell proliferation [1].	y
PF01921	tRNA-synt_1f	tRNA synthetases class I (K)	This family includes only lysyl tRNA synthetases from prokaryotes.	y
PF01923	Cob_adeno_trans	Cobalamin adenosyltransferase	Cobalamin adenosyltransferase This family contains the gene products of PduO and EutT which are both cobalamin adenosyltransferases. PduO is a protein with ATP:cob(I)alamin adenosyltransferase activity. The main role of this protein is the conversion of inactive cobalamins to AdoCbl for 1,2-propanediol degradation [1].The EutT enzyme appears to be an adenosyl transferase, converting CNB12 to AdoB12 [2].	y
PF01926	MMR_HSR1	50S ribosome-binding GTPase	The full-length GTPase protein is required for the complete activity of the protein of interacting with the 50S ribosome and binding of both adenine and guanine nucleotides, with a preference for guanine nucleotide.	m
PF01931	NTPase_I-T	Protein of unknown function DUF84	NTPase_I-T is a family of NTPases with supreme activity against ITP and XTP. Active site analysis and structure comparison of YjjX strongly suggested that it is an NTP binding protein with nucleoside triphosphatase activity. YjjX exhibits a mixed alpha-beta fold [1,2].	y
PF01936	NYN	NYN domain	These domains are found in the eukaryotic proteins typified by the Nedd4-binding protein 1 and the bacterial YacP-like proteins (Nedd4-BP1, YacP nucleases; NYN domains). The NYN domain shares a common protein fold with two other previously characterized groups of nucleases, namely the PIN (PilT N-terminal) and FLAP/5' --> 3' exonuclease superfamilies. These proteins share a common set of 4 acidic conserved residues that are predicted to constitute their active site. Based on the conservation of the acidic residues and structural elements Aravind and colleagues suggest that PIN and NYN domains are likely to bind only a single metal ion, unlike the FLAP/5' --> 3' exonuclease superfamily, which binds two metal ions.  Based on conserved gene neighborhoods Aravind and colleagues infer that the bacterial members are likely to be components of the processome/degradsome that process tRNAs or ribosomal RNAs.	m
PF01939	NucS	Endonuclease NucS	Endonuclease NucS cleaves both 3' and 5' ssDNA extremities of branched DNA structures and it binds to ssDNA [1,2].	m
PF01941	AdoMet_Synthase	S-adenosylmethionine synthetase (AdoMet synthetase)	This family consists of several archaebacterial S-adenosylmethionine synthetase C(AdoMet synthetase or MAT) (EC 2.5.1.6). S-Adenosylmethionine (AdoMet) occupies a central role in the metabolism of all cells. The biological roles of AdoMet include acting as the primary methyl group donor, as a precursor to the polyamines, and as a progenitor of a 5'-deoxyadenosyl radical. S-Adenosylmethionine synthetase catalyses the only known route of AdoMet biosynthesis. The synthetic process occurs in a unique reaction in which the complete triphosphate chain is displaced from ATP and a sulfonium ion formed. MATs from various organisms contain ~400-amino acid polypeptide chains [1]. 	y
PF01943	Polysacc_synt	Polysaccharide biosynthesis protein	Members of this family are integral membrane proteins [1]. Many members of the family are implicated in production of polysaccharide. The family includes RfbX part of the O antigen biosynthesis operon [2]. The family includes SpoVB from Bacillus subtilis Swiss:Q00758, which is involved in spore cortex biosynthesis [3].	y
PF01947	DUF98	p-hydroxybenzoic acid synthase	This domain is found in chorismate pyruvate-lyases (EC:4.1.3.40, also known as 4-HB synthase and p-hydroxybenzoic acid synthase) such as those found in Mycobacterium tuberculosis where it removes the pyruvyl group from chorismate to provide 4-hydroxybenzoate (4HB) [1]. The chorismate pyruvate-lyase encoded by sll1797 in cyanobacteria Synechocystis sp. , has been shown to catalyze the initial and essential step in plastoquinone biosynthesis [2]. In E. coli , the chorismate lyase (UbiC) catalyses the conversion of chorismate to p-hydroxybenzoate and pyruvate in the biosynthesis of ubiquinone as well [3].	u
PF01950	FBPase_3	Fructose-1,6-bisphosphatase	This is a family of bacterial and archaeal fructose-1,6-bisphosphatases (FBPases).  FBPase catalyses the hydrolysis of D-fructose-1,6-bisphosphate (FBP) to D-fructose-6-phosphate (F6P) and orthophosphate and is an essential regulatory enzyme in the glyconeogenic pathway.	y
